	rank	player	pts_per_g	trb_per_g	ast_per_g	stl_per_g	blk_per_g	fg_pct	ws	ws_per_48
0	1	Julius Erving	24.6	8	4.4	2.1	1.8	0.521	13.8	0.231
1	2	Larry Bird	21.2	10.9	5.5	2	0.8	0.478	10.8	0.16
2	3	Kareem Abdul-Jabbar	26.2	10.3	3.4	0.7	2.9	0.574	14.3	0.23
3	4	Moses Malone	27.8	14.8	1.8	1	1.9	0.522	13.7	0.202
4	5	George Gervin	27.1	5.1	3.2	1.1	0.7	0.492	10.5	0.182
5	6	Marques Johnson	20.3	6.8	4.6	1.5	0.5	0.552	11.2	0.211
6	7	Robert Parish	18.9	9.5	1.8	1	2.6	0.545	10.9	0.228
7	8	Dennis Johnson	18.8	4.6	3.7	1.7	0.8	0.436	8.4	0.154
8	9	Tiny Archibald	13.8	2.2	7.7	0.9	0.2	0.499	6.9	0.118
9	10	Jamaal Wilkes	22.6	5.4	2.9	1.5	0.4	0.526	8.5	0.135
10	11	Magic Johnson	21.6	8.6	8.6	3.4	0.7	0.532	6.4	0.225
11	12	Adrian Dantley	30.7	6.4	4	1.4	0.2	0.559	13.6	0.191
12	12	Phil Ford	17.5	1.9	8.8	1.5	0.1	0.478	5.2	0.11
13	14	Bernard King	21.9	6.8	3.5	0.9	0.4	0.588	9.1	0.15
14	15	Kelvin Ransey	15.2	2.4	6.9	1.1	0.1	0.452	2.8	0.056
15	15	Jack Sikma	18.7	10.4	3	1	1.1	0.454	8	0.132
16	17	Otis Birdsong	24.6	3.6	3.3	1.3	0.3	0.544	8.2	0.152
17	17	Michael Ray Richardson	16.4	6.9	7.9	2.9	0.4	0.469	6.9	0.104
18	19	Truck Robinson	18.8	9.6	2.5	0.8	0.5	0.505	7.6	0.119
19	19	Reggie Theus	18.9	3.5	5.2	1.5	0.2	0.495	9.2	0.156
20	21	Norm Nixon	17.1	2.9	8.8	1.8	0.1	0.476	5.5	0.089
21	22	Artis Gilmore	17.9	10.1	2.1	0.6	2.4	0.67	12.3	0.208
22	22	Bob Lanier	14.3	6.2	2.7	1.1	1.2	0.525	6.8	0.185
23	24	Michael Cooper	9.4	4.1	4.1	1.6	1	0.491	5	0.092
24	24	Walter Davis	18	2.6	3.9	1.2	0.2	0.539	7.1	0.157
25	24	George Johnson	5	7.3	1.1	0.6	3.4	0.473	4.5	0.112
26	24	Bobby Jones	13.5	5.4	2.8	1.2	0.9	0.539	9.2	0.217
27	24	Mike Mitchell	24.5	6.1	1.7	0.8	0.6	0.476	6	0.091
28	24	James Silas	17.7	3.1	3.8	0.7	0.2	0.477	7	0.164
29	30	Quinn Buckner	13.3	3.6	4.7	2.4	0	0.493	5.4	0.108
30	30	Caldwell Jones	7.2	10	1.5	0.7	1.7	0.449	5.5	0.1
31	1	Moses Malone	31.1	14.7	1.8	0.9	1.5	0.519	15.4	0.218
32	2	Larry Bird	22.9	10.9	5.8	1.9	0.9	0.503	12.5	0.205
33	3	Julius Erving	24.4	6.9	3.9	2	1.7	0.546	13.3	0.229
34	4	Robert Parish	19.9	10.8	1.8	0.9	2.4	0.542	10	0.19
35	5	Gus Williams	23.4	3.1	6.9	2.2	0.5	0.486	10.2	0.171
36	6	George Gervin	32.3	5	2.4	1	0.6	0.5	10.7	0.182
37	7	Sidney Moncrief	19.8	6.7	4.8	1.7	0.3	0.523	13.4	0.216
38	8	Magic Johnson	18.6	9.6	9.5	2.7	0.4	0.537	12.9	0.207
39	9	Jack Sikma	19.6	12.7	3.4	1.2	1.3	0.479	12.6	0.199
40	10	Kareem Abdul-Jabbar	23.9	8.7	3	0.8	2.7	0.579	10.7	0.192
41	11	Dan Roundfield	18.6	11.8	2.7	1	1.5	0.466	6.5	0.141
42	11	Kelly Tripucka	21.6	5.4	3.3	1.1	0.2	0.496	7.5	0.117
43	13	Alex English	25.4	6.8	5.3	1.1	1.5	0.551	9.5	0.152
44	14	Bernard King	23.2	5.9	3.6	1	0.3	0.566	8.7	0.147
45	15	Adrian Dantley	30.3	6.3	4	1.2	0.2	0.57	12.6	0.187
46	16	Ray Williams	20.4	4	6	2.4	0.5	0.462	7.9	0.139
47	17	Michael Cooper	11.9	3.5	3	1.6	0.8	0.517	5	0.109
48	17	Dan Issel	22.9	7.5	2.2	0.8	0.7	0.527	9.8	0.19
49	17	Marques Johnson	16.5	6.1	3.6	1	0.6	0.532	6.2	0.158
50	17	Isiah Thomas	17	2.9	7.8	2.1	0.2	0.424	2.3	0.046
51	21	Dennis Johnson	19.5	5.1	4.6	1.3	0.7	0.47	8.1	0.132
52	21	Mychal Thompson	20.8	11.7	4	0.9	1.4	0.523	8.2	0.125
53	21	Jay Vincent	21.4	7	2.2	1.1	0.3	0.497	5.6	0.102
54	21	Jamaal Wilkes	21.1	4.8	1.7	1.1	0.3	0.525	7.7	0.127
55	21	Buck Williams	15.5	12.3	1.3	1	1	0.582	8.9	0.152
56	1	Moses Malone	24.5	15.3	1.3	1.1	2	0.501	15.1	0.248
57	2	Larry Bird	23.6	11	5.8	1.9	0.9	0.504	14	0.225
58	3	Magic Johnson	16.8	8.6	10.5	2.2	0.6	0.548	12.5	0.207
59	4	Sidney Moncrief	22.5	5.8	3.9	1.5	0.3	0.524	13.2	0.233
60	5	Julius Erving	21.4	6.8	3.7	1.6	1.8	0.517	10.9	0.217
61	6	Alex English	28.4	7.3	4.8	1.4	1.5	0.516	10.3	0.166
62	7	Buck Williams	17	12.5	1.5	1.1	1.3	0.588	11.4	0.185
63	8	Artis Gilmore	18	12	1.5	0.5	2.3	0.626	11	0.189
